"","x"
"1",988
"2",995
"3",1003
"4",1010
"5",1016
"6",1023
"7",1028
"8",1031
"9",1033
"10",1035
"11",1037
"12",1039
"13",1040
"14",1040
"15",1041
"16",1041
"17",1040
"18",1039
"19",1037
"20",1035
"21",1035
"22",1033
"23",1029
"24",1029
"25",1028
"26",1029
"27",1030
"28",1029
"29",1029
"30",1029
"31",1029
"32",1029
"33",1028
"34",1029
"35",1029
"36",1029
"37",1030
"38",1029
"39",1030
"40",1031
"41",1030
"42",1030
"43",1030
"44",1029
"45",1030
"46",1030
"47",1030
"48",1030
"49",1030
"50",1029
"51",1030
"52",1029
"53",1030
"54",1030
"55",1029
"56",1030
"57",1030
"58",1029
"59",1029
"60",1022
